id	title	query_text_1500
12196	Trump administration tightens visa rules for foreign students	Trump administration tightens visa rules for foreign students Image source, Getty Images Image caption, Critics called the new rules "misguided and unnecessary" ByKwasi Gyamfi Asiedu Published 1 hour ago The Trump administration has given final notice of plans to implement stricter rules on foreign students, including preventing them from staying in the US for more than four years unless they get permission from the federal government. The ability to switch programmes and transfer between universities and colleges will also be restricted. Until now, higher education institutions had the power to grant visa extensions. The policy, which comes into effect in September, "combats rampant visa abuse, and strengthens national security through regular vetting", the Department of Homeland Security said. The Association of International Educators described the new rules as "misguided and unnecessary". Before now, foreign students on F-1 visas and J-1 exchange visas were admitted to the US under "duration of status", which meant they could remain in the country for as long as it took to finish their degrees. The new rules will put a time limit on that stay. Homeland Security Secretary Markwayne Mullin said: "For decades, foreign students have been admitted into the US indefinitely, allowing thousands to abuse our immigration system by perpetually enrolling in courses to avoid having to leave the US." While most US undergraduate programmes are typically four years, graduate level progra
12324	Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?	Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK? By Faisal Islam Economics editor It was just five months ago when Andy Burnham retreated to his mayor's office in Manchester, having been blocked by Labour's ruling executive from standing for parliament. When I met him there a few weeks later, he told me he planned to deal with his disappointment with some ambitious plans for his city region. Burnham told me he wanted to appeal directly to Fifa to host the final of women's football World Cup in in 2035 Manchester insteand of Wembley. "Imagine how electrifying that is for any girl growing up in the north of England," he said. He said he was also joining forces with other mayors for a "Great Northern" Olympic bid across the north of England, and a plan was also afoot to host the Ryder Cup in Bolton. Sports bodies needed "re-educating" about the rest of the country, he said. Image source, PA Media Image caption, Burnham served as Greater Manchester's mayor from 2017 to 2026 Manchester has already poached the Brit Awards from London after half a century in the capital. Big, bold gestures like these tell part of the story of what has happened in the city. Burnham's civic ambition is a byproduct of Manchester's status as the fastest-growing city economy in the country. As Burnham prepares to become prime minister, will he be able to apply the same model to the whole of the nation? Manchester's rise Even before Burnham returned to parliament in June, there ha
11988	UK says Falkland Islands 'definitely ours' after Argentina banner	UK says Falkland Islands 'definitely ours' after Argentina banner Image source, EPA/Shutterstock ByRichard Wheeler, Political reporter and Jack Fenwick, Political correspondent Published 16 July 2026, 13:10 BST Updated 16 minutes ago The UK government has said "the World Cup might not be ours, but the Falkland Islands definitely are," after Argentina players celebrated their victory over England by waving a banner in support of their country's territorial claim. Speaking after England's 2-1 semi-final defeat in Atlanta, Downing Street said Sir Keir Starmer wished both Argentina and Spain "well for the final, especially Spain". Argentina face the prospect of disciplinary action from Fifa. The banner held by some of their players read "Las Malvinas son Argentinas", which translates as "The Falklands are Argentine". The Falkland Islands are a British overseas territory in the south-west Atlantic Ocean. Argentina face action over Falklands banner Published 2 hours ago Falklands is a pressure point for the UK – and the US knows it Published 24 April No 10 says Falklands sovereignty rests with UK after report of US 'review' Published 24 April They remain the subject of a sovereignty dispute between Britain and Argentina, with the two countries waging a brief but bitter war over the territory in 1982. A British military task force ejected Argentine forces, who had landed on the Falklands to stake a territorial claim. The 74-day conflict led to the deaths of 255 British military pers
11826	Meta pulls new AI image feature after days of backlash	Meta pulls new AI image feature after days of backlash Image source, Meta Image caption, An AI-altered image generated using Muse Image ByKali Hays Technology reporter Published 11 July 2026 Meta has abruptly taken down a new feature that allowed people to use its artificial intelligence (AI) tool to make fake images from user content on Instagram. The feature was part of a broad rollout of Muse Image, a new AI image generation tool Instagram's parent company released on Tuesday. It allowed users of the Meta AI chatbot to tag public-facing accounts on Instagram and quickly use content on those accounts to create AI-generated or altered content and images. The feature quickly sparked blowback due to privacy concerns, leading Meta to admit it had “missed the mark" so it was "no longer available”. Muse Image was the tech firm's first foray into AI image generation but faced backlash as Instagram users were opted in by default. It meant that anyone with a public account could have their likeness used without their knowledge or permission. Hollywood union Sag-Aftra described the U-turn as a "win". It had previously urged its members and "all Instagram users" to take action to protect their likeness stating that there had been an "utter miscalculation of public sentiment regarding the obvious dangers and harms inherent in such use". The London-based human rights charity Privacy International had also criticised the feature, telling the BBC it was "the latest sign AI companies see p
11923	Teen hackers who live streamed cyber-attack on TfL jailed	Teen hackers who live streamed cyber-attack on TfL jailed To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Watch: The moments the men are arrested for their role in the cyber-attack ByJoe Tidy Cyber correspondent, BBC World Service Published 16 July 2026, 11:50 BST Updated 18 minutes ago Two men who carried out a cyber-attack which crippled Transport For London (TfL) when they were teenagers have both been sentenced to five years and six months in prison. Owen Flowers, 18, from Walsall, and Thalha Jubair, 20, from east London, pleaded guilty in June to carrying out the hack in 2024. They were described as computer-obsessed loners who carried out the hack as part of the cyber crime collective known as Scattered Spider. The cyber-attack disrupted TfL's online services for months, stole the personal data of millions of people and left all 27,000 TfL employees needing to reset their passwords in person. Woolwich Crown Court heard the criminals streamed their 16 hour long cyber-attack online. The National Crime Agency (NCA) said the rise of young hackers in the UK as one of the biggest threats to the nation's cyber security. Flowers was 17 and Jubair was 18 when they hacked into the capital's transport authority at 1700 on 31 August. Telegram messages sent between the pair showed them boasting about gaining access to TfL's database of people with Oyster cards. The teens then searched the list for the personal details of
12397	Catfished student gets £10k after photos used for fake dating profiles	Catfished student gets £10k after photos used for fake dating profiles Image caption, Fake accounts pretending to be Sasha-Jay gained 81,000 followers on TikTok and 22,000 on Instagram ByJordan Davies BBC Wales Published 16 July 2026 Updated 2 hours ago A 19-year-old woman whose images were used to create fake Tinder, TikTok and Instagram profiles leading men to believe she was their girlfriend is to be paid compensation. Sasha-Jay Davies from Aberdare had her identity stolen by Elha Mai Weston who posed as the teenager to strike up romantic conversations on social media. Weston amassed more than 100,000 followers, leaving Davies fearful to leave her home because she was being approached by men who thought they were in a relationship with her. She apologised and admitted the four-year campaign and agreed to pay Davies, a student, a reported £10,000 in compensation, according to court documents. The High Court in London was told Weston engaged in a "sustained campaign of online impersonation", known as catfishing. Earlier this year, Davies told BBC Wales: "I used to go out a lot but now I hardly ever go out because I'm scared what man is going to approach me next. "It is terrifying to be confronted over something you didn't do and to realise someone is using your face to manipulate others," she said. Images were posted on Tinder, Hinge, Snapchat, TikTok, Instagram, Facebook and SoundCloud, and used to deceive thousands of people across social media and dating apps. The court h
11991	MI5 court evidence based on lies, report says	MI5 court evidence based on lies, report says Image caption, Agent X had used his status to coercively control his then girlfriend, including attacking her with a machete ByDaniel De Simone Investigations correspondent Published 16 July 2026, 12:30 BST Updated 43 minutes ago MI5 gave evidence based on "lies" to three courts while defending a violent neo-Nazi spy whose abuse was uncovered by the BBC, a damning official report has found. The report, by the deputy investigatory powers commissioner Sir John Goldring, heavily criticises a series of senior MI5 figures and their organisation. He finds that one senior MI5 officer lied repeatedly, while another misled his own colleagues and lied about what he was told. The conclusions confirm the BBC's revelation in February last year that MI5 lied to the courts, something the security service vehemently denied. Sir John's investigation was ordered by the prime minister in September after MI5's explanations about what happened were rejected as deficient and unreliable by the High Court. His new report will plunge MI5 into crisis and could result in contempt of court proceedings or even a criminal prosecution. "MI5 recognises without hesitation the seriousness of our failings in these proceedings," said MI5 Director General Sir Ken McCallum. "I repeat my previous apologies to both courts for the incorrect evidence that was provided, and for our slowness in recognising what had happened." Home Secretary Shabana Mahmood said the findings
12066	Burnham planning summer tour of UK in early weeks as PM	Burnham planning summer tour of UK in early weeks as PM Image source, Getty Images ByJames Gregory, Political reporter, Shelley Phelps, Wales Westminster correspondent and Catrin Haf Jones, Wales political correspondent Published 16 July 2026, 16:59 BST Updated 8 minutes ago Andy Burnham will undertake a summer tour across the UK during the early weeks of his premiership. Described as a "listening tour of the UK", Burnham will travel across the country in August while Parliament is in recess. Among the areas understood to be on his itinerary is Port Talbot in south Wales, a town which saw the closure of its last steel-making blast furnace in September 2024. The former Greater Manchester mayor will become prime minister on Monday but will not face MPs until September when the Commons returns from its six-week recess, unless he decides to recall Parliament. Several Welsh Labour MPs have told BBC Wales that they understand Burnham intends to visit Port Talbot, once home to the UK's largest steelworks which has seen 2,800 job losses as it transitions to greener steel-making. Some Welsh politicians have accused Labour of double standards, after it stepped in to save the British Steel plant in Scunthorpe in 2025 but did not do the same for Tata Steel's Port Talbot plant. There are few details as to what policies Burnham will look to implement once in No 10, but a key part of his message thus far has been about devolving power away from Westminster towards local communities. In a sp
12328	Australia 'deeply frustrated' over Laos methanol poisoning charges	Australia 'deeply frustrated' over Laos methanol poisoning charges Image source, Beaumaris Football Club Image caption, Holly Bowles, left, and Bianca Jones were visiting Laos from Australia ByHelen Livingstone Sydney Published 2 hours ago The Australian government has said it is "deeply frustrated and bitterly disappointed" that Laos is not pursuing more serious charges in relation to the deaths of six backpackers who died after drinking methanol-laced alcohol in 2024. Australians Bianca Jones and Holly Morton-Bowles, both 19, were among six people who died at a hostel in Vang Vieng in November 2024. The statement comes after reports in Australian media that Laos would press charges that collectively carry penalties of up to one year in jail and a fine of A$1600 ($1100; £829) against those allegedly responsible. Australian Foreign Ministry Penny Wong said they have summoned Laos' ambassador to Canberra. Laos has yet to confirm any charges but the BBC understands authorities there will hold a press conference later on Friday. "This devastating news will only add to the immense pain and grief suffered by the families and friends of Holly and Bianca," Australia's Foreign Ministry said in a statement. "We have consistently made clear our expectations that charges should reflect the gravity of the tragedy. This includes the Prime Minister and I expressing these expectations directly to our respective counterparts." Jones and Bowles were among six foreign tourists who died after c
11931	'I couldn't leave the house, I worried I'd cheat': The rise of relationship OCD	'I couldn't leave the house, I worried I'd cheat': The rise of relationship OCD Image source, Sophia Image caption, Sophia describes the toll of having relationship OCD as "mental torture" ByElena Bailey Health reporter Published 16 July 2026, 01:34 BST Sophia, 24, has been in a loving relationship for more than a year, but she still finds herself questioning everything about it - from how compatible she and her boyfriend are to whether she loves him at all, and what action she might take as a result. "I couldn't leave the house because I was so worried I would cheat on my boyfriend," says Sophia, a content creator and waitress from Leeds. "At my worst, I couldn't go to work. I'd be lying in bed all day, asking [Chat] GPT hundreds of questions to try and get reassurance." Sophia is describing living with relationship OCD (ROCD), a form of obsessive compulsive disorder which experts say goes far beyond the normal relationship doubts that we can all experience. Instead, ROCD involves persistent intrusive doubts that cause significant distress and lead to compulsive behaviours, such as repeatedly testing your partner to try to find reassurance. "It can take hours of mental energy and cause a lot of anxiety, whereas in a normal relationship these thoughts don't dominate your day," says Prof David Veale, a consultant psychiatrist at the South London and Maudsley NHS Trust. Sophia describes the toll as "mental torture". "Having a voice in your head constantly nitpicking at your rel
11800	Families of 43 victims await verdict in Genoa bridge disaster	Families of 43 victims await verdict in Genoa bridge disaster Image source, Getty Images Image caption, The 2018 bridge collapse was one of Italy's worst infrastructure disasters ByDavide Ghiglione Rome Published 8 hours ago On the morning of 14 August 2018, Claudia Possetti, 47, was in the car with her new husband Andrea, and her two children, aged 12 and 16. The couple had just married and were driving to the Italian Riviera with the youngsters for a holiday when the Morandi bridge in the northern city of Genoa collapsed beneath them. Their car was among those that plunged from the viaduct on to the railway tracks below. The four of them were among 43 people killed in one of Italy's worst infrastructure disasters in decades. Nearly eight years on, Claudia's sister, Egle Possetti, will be among relatives gathering in a Genoa courtroom on Thursday to hear a first-instance verdict in the trial over the collapse. The children's father, who survived them, is also expected to be in court. "I feel anxious, worried, very emotional," Egle told the BBC. "After so many years, so many hearings, we may be able to see some light. It would be so important for us to know if someone's been held accountable." Image source, Egle Possetti Image caption, Andrea, Claudia and her children died when the Morandi bridge collapsed The bridge came down during a summer storm at the height of the holiday season, sending cars and lorries plunging to the ground below. The collapse triggered years of inves
11999	'Good day to drown a few sorrows', says King as he pours pint	'Good day to drown a few sorrows', says King as he pours pint 'Good day to drown a few sorrows', says King as he pours pint To play this video you need to enable JavaScript in your browser. This video can not be played 'Good day to drown a few sorrows', says King as he pours pint Close King Charles III has hinted at England's World Cup semi-final loss to Argentina as he poured a pint in a pub. "Maybe it's a good day to drown a few sorrows," he said to laughter, while Queen Camilla smiled as she stood next to him. Feeling gutted? Here are five ways to cope with England's World Cup defeat Subsection England Published 16 minutes ago Share close panel Share page Copy link About sharing Related topics UK Royal Family Follow UK Royal Family close panel You are now following UK Royal Family Updates from your News topics will appear in My News and in a collection on the News homepage. King Charles III Follow King Charles III close panel You are now following King Charles III Updates from your News topics will appear in My News and in a collection on the News homepage. Read description
11805	Why England's loss to Argentina felt like most painful in 60 years of hurt	Why England's loss to Argentina felt like most painful in 60 years of hurt Image source, Reuters Image caption, Jude Bellingham and his England team-mates were dejected at the full-time whistle By Phil McNulty Chief football writer in Atlanta Published 6 hours ago England's years of hurt will now stretch beyond 60, but the late collapse to a World Cup semi-final defeat by Argentina may just be the most painful wound of all. The clock inside the magnificent Atlanta Stadium showed England were five minutes of normal time away from ending the wait for a men's World Cup final that stretches back to 1966, when they lifted the Jules Rimet trophy at Wembley. England's players and head coach Thomas Tuchel had immortality in their hands as they led through Anthony Gordon's 55th-minute goal. Their grasp, however, was being loosened by catastrophic decision making from Tuchel that instigated wave after wave of Argentina attacks orchestrated by Lionel Messi. One goal seemed inevitable - and it came from Enzo Fernandez in the 85th minute. Then, with England on the ropes, they were floored by Lautaro Martinez's injury-time header. England could not come back, so a stunned football nation wakes up to another desperate near-miss from this nearly team. Tuchel fails in England mission To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Argentina shatter England's World Cup dreams in semi-final Tuchel's unique selling point when he succ
11802	Weekend cooldown to mark end of heatwave for some	Weekend cooldown to mark end of heatwave for some Image source, PA ByDarren Bett Lead Weather Presenter Published 7 hours ago Temperatures are set to drop across the UK this weekend after a spell of intensely hot weather - marking an end to heatwave conditions for some. Fresher northerly winds will cause readings to fall by several degrees in some locations, with a significant cooldown in store for parts of Scotland, Northern Ireland and northern England. However, it will continue to be warmer than average in much of the UK, including southern England where the heatwave threshold has now been met or exceeded for 12 consecutive days. Despite the break from the heat, there is still no sign of significant rain in the forecast. High pressure will remain close to the UK at least into early next week, continuing the unusually dry and sunny month. With high pressure centred to the west of the UK, a northerly wind will develop this weekend, causing temperatures to dip. Maximum temperatures in northern Scotland will be up to seven degrees Celsius lower on Saturday than on Thursday, bringing an end to the heatwave. North-west England will also see temperatures fall by five to six degrees Celsius from Thursday's maximum, dropping to the low 20s by Saturday. Image caption, Cooler northerly winds this weekend with high pressure to the west The Midlands, Wales and southern England will feel some relief, though parts of these regions will continue above the heatwave threshold. Maximum tempe
