id	title	query_text_1500
11814	Cash-strapped Thames Water poses big test for Burnham	Cash-strapped Thames Water poses big test for Burnham Image source, Getty Images BySimon Jack, Business editor and Mitchell Labiak, Business reporter Published 15 July 2026 Thames Water is a major test for Andy Burnham and may help determine what the incoming prime minister's ambition to bring key utilities back under "public control" really means. Despite returning to profit after hiking bills 40%, the deeply troubled company is far from out of the woods. Its debt pile is growing and its cash reserves are dwindling as the money customers are paying in bills is nowhere near enough to fund the massive infrastructure upgrades needed after years of underinvestment. The company reported a post-tax profit of £113m for the 12 months to the end of March, swinging from a £1.51bn post-tax loss the previous year. However, the firm's net debt also swelled to £18.5bn from £16.8bn as it said it only had enough debt funding to keep the business going until the end of 2026. And Thames Water warned it has enough cash to last until the end of this year - so by then, something has to happen. The first option is the government agreeing to a rescue deal put together by its lenders which would see some debt written off and new cash injected in return for leniency on its environmental targets in the coming years. They argue it is pointless throwing money at fixing long-standing problems if it goes straight out the door again in fines. Environment Secretary Emma Reynolds recently rejected this plan
12188	Blasts reported in Iran as US launches new wave of strikes	Blasts reported in Iran as US launches new wave of strikes Image source, Reuters Image caption, The US launched strikes for the sixth night in a row, as fighting over control of the Strait of Hormuz continues ByJaroslav Lukiv Published 1 hour ago The US launched a new wave of strikes against Iran for a sixth night in a row, its military says, as the two sides continue to battle for control of the Strait of Hormuz. US Central Command (Centcom) said on Thursday that the attacks were intended to "further degrade Iranian military capabilities". Iran's state media reported US missiles struck close to the Gulf island of Qeshm, near the Strait of Hormuz, as well as in Bandar Abbas and Bushehr - the site of a nuclear power plant. It comes after the two sides exchanged strikes overnight, with the renewed hostilities further straining their preliminary deal to end the war. White House press secretary Karoline Leavitt said on Thursday that US President Donald Trump remained open to talks with Iran. "The president will hold them accountable when they turn their back on the words that they state to the United States. But he is always open to diplomacy at the very same time," she told reporters. She said Iran has expressed it still wants to make a deal with the US, adding: "We're talking to them, but again, the president is not going to allow them to fire on ships in the strait without paying a consequence for that." As attacks escalate, the Strait of Hormuz - a critical waterway off Iran'
12056	Sadiq Khan among 26 new peers to enter the Lords	Sadiq Khan among 26 new peers to enter the Lords Image source, PA Media Image caption, Sir Sadiq Khan has been London mayor since 2016 ByJoshua Nevett Political reporter Published 16 July 2026, 17:32 BST Updated 3 minutes ago London Mayor Sir Sadiq Khan is one of 26 new peers to be given seats in the House of Lords in one of Sir Keir Starmer's last acts as prime minister. Sir Sadiq has been nominated to become a Labour Lord alongside 15 others, including broadcaster June Sarpong and former union chief Christina McAnea. The government has also announced five new peers from the Liberal Democrats, three from the Conservatives and two cross-bench members, the former cabinet secretary Sir Chris Wormald and Sir Brian Leveson, a retired senior judge. Downing Street published a list of the nominations, external and said the King "has been graciously pleased to signify his intention of conferring peerages". The nominations come as Sir Keir prepares to leave office on Monday, when Andy Burnham is due to become the next prime minister. Sir Sadiq's nomination was among the most eye-catching on the list. The former Labour MP is mid-way through his third term as London mayor, having first been elected in 2016. The BBC understands Sir Sadiq is not seeking a ministerial role in Andy Burnham's incoming government and has not yet decided whether he wants to seek a fourth term as mayor in 2028. A government source praised Sir Sadiq as "a brilliant mayor who has transformed London for the better
12132	Energy drinks to be banned for under-16s in England from April	Energy drinks to be banned for under-16s in England from April Image source, EPA/Shutterstock Image caption, Some popular energy drinks contain more caffeine than two cups of coffee ByJacob Phillips Published 16 July 2026, 19:34 BST Updated 35 minutes ago Children under 16 will be banned from buying high-caffeine energy drinks in England from April, the government has said. Drinks containing more than 150mg of caffeine per litre will be illegal to sell to children and younger teenagers in shops, restaurants, cafes, vending machines and online. Lower-caffeine soft drinks, such Diet Coke, are not affected and neither are tea and coffee. However, drinks including Red Bull, Monster, Relentless and Prime would all breach the limit. The new rules aim to reduce obesity levels in children and prevent issues such as disrupted sleep, increased anxiety and lack of concentration, as well as poor school results. Announcing the new measures, first proposed last year, Public Health Minister Sharon Hodgson said the ban "demonstrates our firm commitment to creating the healthiest generation of children ever". The ban, subject to parliamentary approval, will be enforced by local authorities and businesses that break the law could face fines of up to £2,500. Around 100,000 children in England consume energy drinks every day and has warned the beverages can also impact pupils' ability to focus at school Some popular drinks brands contain more caffeine than two cups of coffee or four cans of cola
11798	US military to start screening for testosterone deficiency, Hegseth says	US military to start screening for testosterone deficiency, Hegseth says Image source, Getty Images BySareen Habeshian Published 15 July 2026 Updated 5 hours ago Defence Secretary Pete Hegseth has announced that military personnel aged 30 and older will undergo testing for testosterone deficiency as part of annual health screenings. In a video posted on X, captioned "High-T Department", Hegseth said he was authorising the screening programme for troops to ensure "you have the right testosterone levels to operate at your absolute best". Troops with low testosterone levels will be offered voluntary hormone replacement therapy. The tests will be optional for those younger than 30. Hegseth did not specify whether the screening would apply to women, whose testosterone levels also decline as they age. "We owe our warriors the absolute best medical care in the world, and this programme delivers on that obligation," Hegseth said in Wednesday's video. "Taking care of your long-term health means ensuring you remain strong, resilient and capable - not just for your next deployment, but for the rest of your life, so you can thrive long after you take off the uniform," he added. Taking testosterone for non-medical reasons, like artificial muscle enhancement without a doctor's prescription, is strictly prohibited in the military. Hegseth said in the video that the new programme was "not about artificial enhancement". Pentagon spokesman Sean Parnell said in a statement that the mandatory sc
11793	Argentina face action over Falklands banner	Argentina face action over Falklands banner To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Argentina displays controversial banner after win over England ByAdwaidh Rajan BBC Sport journalist Published 15 July 2026 Argentina face the prospect of disciplinary action from Fifa after their players celebrated the World Cup semi-final win against England with a banner in support of their country's claims to the Falkland Islands. The defending world champions produced a dramatic late comeback in Atlanta, scoring twice to defeat Thomas Tuchel's side 2-1 and book a showdown with Spain in Sunday's final. After the final whistle, Argentina players celebrated while holding a banner reading "Las Malvinas son Argentinas", which translates as "The Falklands are Argentine". The Falkland Islands, a British overseas territory in the south-west Atlantic Ocean, remain the subject of a sovereignty dispute between Britain and Argentina. The two nations went to war over the group of islands, situated 300 miles off Argentina's east coast, from April to June 1982. The 74-day conflict led to the deaths of 655 Argentine and 255 British servicemen. Three people from the islands also died. In 2014, Fifa fined the Argentine Football Association £20,000 after its players held up a banner with the same message before a friendly against Slovenia. World football's governing body said the gesture had breached rules on political action and team mis
11794	British Steel taken into public ownership to protect 'vital' UK supply	British Steel taken into public ownership to protect 'vital' UK supply Image source, Getty Images ByHarry Sekulich and Archie Mitchell, Business reporter Published 16 July 2026, 06:22 BST Updated 29 minutes ago British Steel has been taken into public ownership in what the government said was a bid to "protect UK steelmaking". The future of the steelworks, which employs roughly 2,700 people in Scunthorpe and supports many other industries in north Lincolnshire, has been dogged by uncertainty over recent years. "Today's decision secures the future of steelmaking in the UK, protects skilled jobs and safeguards a vital national capability," Prime Minister Sir Keir Starmer said. The UK government took control of British Steel operations in Scunthorpe last year, though it has since remained under the ownership of the Chinese firm Jingye Group. Jingye has said it has begun the process of seeking compensation for nationalisation, having previously said the business was losing £700,000 a day. However, the UK government has said it could limit or refuse compensation. The BBC has been unable to get a response from Jingye to Thursday's announcement. Starmer added: "British Steel is part of the fabric of our nation and a cornerstone of Britain's industrial strength. "This government will always act in the national interest to support British industry, strengthen our economy and ensure the industries we rely on can thrive long into the future." In March, the National Audit Office released
12061	Uncle of Ann Widdecombe suspect says he 'nearly fell to floor' over arrest	Uncle of Ann Widdecombe suspect says he 'nearly fell to floor' over arrest Image source, PA Media ByLiz Roberts Reporting fromRotherham Published 1 hour ago The uncle of a man held on suspicion of the murder of Ann Widdecombe has told the BBC how he "nearly fell to the floor" when he heard his nephew had been arrested. "My legs went like jelly," he said. "He's the last person I would think would do anything like that." He lives near his nephew, although he has not seen him properly for about 10 years. He remembers him as a "quiet and unassuming boy" who was "gentle and polite" and "everything that a shy, young boy would be". Former MP Widdecombe, 78, is believed to have been attacked at her home in Haytor, Devon on 8 July. Her body was discovered a day later, and she had sustained serious injuries, police said. A white British man, 28, arrested on Saturday in South Yorkshire, is being held on suspicion of murder and on suspicion of commission, preparation or instigation of acts of terrorism. Counter terrorism police said on Tuesday they believe she was killed in a "targeted attack", but they are still working to understand the motive. Speaking to the BBC in Rotherham, the man, who we are not naming, said his nephew had been living with his father until his death a few months ago. A woman who lives near the suspect also said that she did not see her neighbour very often. Courtney Foster said "he used to take his dad out shopping while he was still alive, but since then he neve
11830	Big tech must deal with scam ads under Ofcom proposals	Big tech must deal with scam ads under Ofcom proposals Image source, Getty Images ByLiv McMahon Technology reporter Published 10 July 2026 Platforms like YouTube, Instagram and TikTok will need to take action to deal with scam adverts, under new proposals from Ofcom. The regulator has published draft measures it says big tech should take to protect people from falling victim to fraudulent ads online - along with a list of services which will face more responsibilities under the Online Safety Act (OSA). It says more than half of UK adults have come across potentially fraudulent ads online, with over a third seeing them often. If the draft measures pass into law, firms which fail to comply could be made to pay £18m or 10% of global turnover - whichever is greater. "For too long, victims have been exposed to scam ads online with tech giants simply not doing enough to combat the fraudsters using their platforms," said Ofcom online safety director Oliver Griffiths. "We expect firms to take robust action to stamp out scam ads and boot out the bad actors behind them to safeguard their users." Ofcom's proposed measures are targeting content which advertises products or services in a way that misleads or tricks viewers. It said this includes mandating tech firms ban those who post scams and prevent them from creating new accounts, as well as those who impersonate real businesses. "Platforms should not drag their heels – they can start making improvements for their users now," Griffith
11836	Tech Life	Tech Life Close menu Use BBC.com or the new BBC App to listen to BBC podcasts, Radio 4 and the World Service outside the UK. Find out how to listen to other BBC stations Episode details World Service,·07 Jul 2026,·26 mins Too young to scroll? Tech Life Play BookmarkBookmark SubscribeSubscribe Available for over a year What is a good age to give a child a smartphone? A community in Ireland might have the answer. In Greystones there's a voluntary agreement to wait until secondary school age. We hear from the school principal who leads the "It Takes A Village" initiative, and a local parent. Also this week: a woman tells Shiona McCallum how surviving a late-night attack inspired her to develop a wearable safety device. And AI was let loose to run a cafe in Sweden. Find out what happened next. Presenter: Shiona McCallum Producer: Tom Quinn (Photo: A small group of boys and girls look at their smartphones. Credit: Getty Images) Programme Website Show less More episodes Cymraeg Gaeilge Gàidhlig BBC Sounds Help Contacts, Privacy and Information Help with Signing In Newsletter
11837	Moroccan intelligence insider reveals widespread use of Pegasus hacking software	Moroccan intelligence insider reveals widespread use of Pegasus hacking software The Israel-based NSO Group produces the Pegasus hacking software allegedly used to target French and Spanish politicians among others. Photograph: Amir Cohen/Reuters View image in fullscreen The Israel-based NSO Group produces the Pegasus hacking software allegedly used to target French and Spanish politicians among others. Photograph: Amir Cohen/Reuters Moroccan intelligence insider reveals widespread use of Pegasus hacking software Whistleblower suggests internal security services deployed spyware from 2017 against key domestic and foreign targets A former member of Morocco’s domestic intelligence service has helped to provide an unprecedented insight into how the north African state used hacking software – including Pegasus spyware – to target journalists, human rights defenders, French politicians and Spanish cabinet ministers and police officers. Pegasus, which is manufactured by the Israel-based NSO Group, allows its operator to access everything on a target’s mobile phone, including emails, text messages and photographs. It can also activate the phone’s recorder and camera, turning it into a listening device. Although NSO Group says Pegasus is sold only to governments to help them track criminals and terrorists, the spyware is alleged to have been used by several countries to target dissidents, journalists, diplomats and politicians. Morocco has long denied using Pegasus to target critics 
12325	China hits out at British Steel nationalisation	China hits out at British Steel nationalisation Image source, Getty Images ByPeter Hoskins Business reporter Published 2 hours ago China has hit out at the nationalisation of British Steel, saying it "firmly opposes and is strongly dissatisfied with the British government's decision". On Thursday, the UK government said that taking the loss-making firm into public hands would protect jobs and safeguard a "vital national capability". The UK took control of British Steel's operations in Scunthorpe last year, though it was still owned by China's Jingye Group, limiting the government's ability to steer its future. China's commerce ministry said on Friday that the moves "seriously infringed upon Jingye's legitimate rights and interests and severely undermined the confidence of Chinese companies investing in the UK". It also called on Britain to "faithfully fulfil" its obligations under the China–UK Bilateral Investment Treaty. "Disregarding Jingye's significant contribution to the UK economy and society, the British side forcibly took control of the company in the name of national security," the ministry said. The statement added that Beijing would monitor developments closely and support Chinese firms to protect their rights, but did not specify what protecting Chinese companies' rights might involve. The decision to nationalise British Steel threatens to strain the relationship between London and Beijing just as Andy Burnham is set to become the prime minister on Monday. The inc
11849	Japan officials hunt bear that raided couple’s fridge amid string of break-ins	Japan officials hunt bear that raided couple’s fridge amid string of break-ins File image of a black bear in Iwate prefecture, northern Japan. Officials are hunting a bear that may be behind 14 break-ins in the town of Shizukuishi. Photograph: Yoshihiro Sato View image in fullscreen File image of a black bear in Iwate prefecture, northern Japan. Officials are hunting a bear that may be behind 14 break-ins in the town of Shizukuishi. Photograph: Yoshihiro Sato Japan officials hunt bear that raided couple’s fridge amid string of break-ins Officials set up traps and electric fences after 14 break-ins recored in one town in two weeks, amid fears of a repeat offender Authorities are searching for a bear that sneaked into the home of an elderly couple and raided their fridge amid concerns it may be behind 14 break-ins across a Japanese town in the past fortnight. On Monday evening, Mitsuo Matsubara, 87, was confronted by a large Asiatic black bear when he went to investigate a noise in his kitchen. His fridge was open, and food was strewn across the floor. His wife called the police. Break-ins have now been reported at five locations in the north-eastern town of Shizukuishi, leading officials to suspect one bear may be a repeat offender. They have set up box traps, installed electric fences around repeatedly targeted houses and deployed patrols to warn people about the bear. ‘Extremely intelligent’ Japanese bear that attacked four people still at large, police say Read more “It’s u
11844	Mexico asks US state attorneys general to investigate immigrant ICE deaths	Mexico asks US state attorneys general to investigate immigrant ICE deaths The site where Lorenzo Salgado Araujo was killed on 9 July 2026 in Houston, Texas. Photograph: Brandon Bell/Getty Images View image in fullscreen The site where Lorenzo Salgado Araujo was killed on 9 July 2026 in Houston, Texas. Photograph: Brandon Bell/Getty Images Mexico asks US state attorneys general to investigate immigrant ICE deaths Since start of Trump’s second term, 14 Mexican immigrants have died in ICE custody and three in agency operations Mexico formally requested that US state attorneys general criminally investigate cases of immigrants who have died in Immigration and Customs Enforcement (ICE) custody or during raids, the Mexican government said Tuesday. The request follows the death of Mexican immigrant Lorenzo Salgado Araujo, who was shot and killed by an ICE agent in Houston. Since the beginning of Donald Trump’s second term, 17 Mexican immigrants have died during immigration enforcement, 14 in ICE custody and three in agency operations. Mexico’s foreign ministry had previously said it would make the request, which was formalized on Tuesday, according to the ministry. It said a similar request will also be sent to the US Department of Justice. The United States is not legally obliged to act on the requests. Also, the Mexican government said it had started sending letters to US detention centers where Mexican immigrants had died, demanding they “immediately cease the actions or omissio
11831	'Cool in 90 seconds' - the fake portable air conditioners sweeping the internet	'Cool in 90 seconds' - the fake portable air conditioners sweeping the internet Image source, Proper DIY ByLaura Cress Technology reporter Published 10 July 2026 As parts of the UK brace for another hot weekend, online adverts have been appearing for portable air conditioners claiming to be "designed by former Nasa engineers" and able to "cool a room in 90 seconds". The adverts have emerged on platforms including Facebook and YouTube, but the Advertising Standards Authority (ASA) has now warned the products are often "too good to be true". YouTuber Stuart Matthews, who bought several devices to test on his Proper DIY channel, told the BBC that despite paying £70 for one machine, it turned out to be "a small, simple fan worth only a few pounds". The BBC has approached Meta and YouTube for comment. The ASA told the BBC that some of the adverts it had seen online in recent weeks made exaggerated claims, including that a small device could cool an entire home within minutes or used very little electricity. It also said the adverts frequently featured fake customer reviews describing dramatic temperature drops or exceptional performance. The adverts direct shoppers to websites selling the devices, typically for between £70 and £120. Many of the adverts also appeared to be AI-generated, using visuals such as copper coils and metallic boxes to make the products seem more sophisticated. Image caption, One advert the BBC found online which claimed to cool down a room in minutes The AS
12460	Wildfire still burning across four miles as helicopter waterbombs Cairngorms	Wildfire still burning across four miles as helicopter waterbombs Cairngorms To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Watch: Wildfires tear through Cairngorms national park in Scotland ByCatherine Lyst BBC Scotland Published 17 July 2026, 08:09 BST Updated 38 minutes ago Firefighters are spending a third day tackling a major wildfire which has led to evacuations in the Cairngorms. The blaze started in heathland at Ryvoan Bothy, near Nethy Bridge, late on Wednesday morning and had spread across 3.7 miles (6km) by Thursday afternoon. A number of homes and businesses, including campsites and a ski resort in the Glenmore Forest Park area have been closed and evacuated as a safety precaution. A helicopter joined the firefighting efforts on Thursday night. Nine fire appliances and specialist resources remained at the scene on Friday morning. The Scottish Fire and Rescue Service (SFRS) said it was facing a "protracted incident" as it sought to prevent the flames spreading to other areas, but added that it had "adequate resources" to deal with the incident. Along with landowners, fire crews have been creating fire breaks to contain the spread. Michael Byrne, a climate scientist at St Andrews University, told the BBC that more rainfall during the winter plus overall warming was leading to an increasing threat of wildfires in Scotland. Cairngorms wildfire 'contained', but very high risk remains Published 18 hours ago
