id	label_genuine_1_coincidence_0	top_dist	margin	title	top3_books	lead
11931		0.8545	0.0039	'I couldn't leave the house, I worried I'd cheat': The rise of relationship OCD	The Rules of People: A Personal Code for Getting the Best from Everyone (0.760) | 藥物治療學案例集 (0.764) | 自私的藝術：快樂有理，自私無罪！ (0.771)	Image source, Sophia Image caption, Sophia describes the toll of having relationship OCD as "mental torture" ByElena Bailey Health reporter Published 16 July 2026, 01:34 BST Sophia, 24, has been in a loving relationship for more than a year
11923		0.8843	0.0024	Teen hackers who live streamed cyber-attack on TfL jailed	Web 開發者安全指南 (0.866) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.869) | 程式設計人應該知道的97件事 (0.883)	To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Watch: The moments the men are arrested for their role in the cyber-attack ByJoe Tidy Cyber correspondent, BBC World Service Publ
11837		0.8912	0.0012	Moroccan intelligence insider reveals widespread use of Pegasus hacking software	大開眼界：葛拉威爾的奇想 (0.873) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.874) | 十種人性 (0.897)	The Israel-based NSO Group produces the Pegasus hacking software allegedly used to target French and Spanish politicians among others. Photograph: Amir Cohen/Reuters View image in fullscreen The Israel-based NSO Group produces the Pegasus h
11826		0.8955	0.0021	Meta pulls new AI image feature after days of backlash	機器學習系統設計面試 (0.843) | AI來了，你還不開始準備嗎？ (0.845) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.846)	Image source, Meta Image caption, An AI-altered image generated using Muse Image ByKali Hays Technology reporter Published 11 July 2026 Meta has abruptly taken down a new feature that allowed people to use its artificial intelligence (AI) t
11798		0.9171	0.0313	US military to start screening for testosterone deficiency, Hegseth says	身體調校聖經 (0.784) | 古德曼與吉爾曼:治療學的藥理學基礎 (0.816) | 藥物治療學案例集 (0.855)	Image source, Getty Images BySareen Habeshian Published 15 July 2026 Updated 5 hours ago Defence Secretary Pete Hegseth has announced that military personnel aged 30 and older will undergo testing for testosterone deficiency as part of annu
12324		0.9213	0.0131	Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?	改變想法：改變自己與他人心智的藝術與科學 (0.859) | The Wealth of Humans (0.873) | 長勝心態 (0.882)	By Faisal Islam Economics editor It was just five months ago when Andy Burnham retreated to his mayor's office in Manchester, having been blocked by Labour's ruling executive from standing for parliament. When I met him there a few weeks la
11814		0.9256	0.0047	Cash-strapped Thames Water poses big test for Burnham	投資最重要的三個問題 (0.853) | 狂熱、恐慌與崩盤：金融危機史 (0.857) | 國家為什麼會破產: 橋水基金應對大週期的原則 (0.868)	Image source, Getty Images BySimon Jack, Business editor and Mitchell Labiak, Business reporter Published 15 July 2026 Thames Water is a major test for Andy Burnham and may help determine what the incoming prime minister's ambition to bring
11831		0.9285	0.0452	'Cool in 90 seconds' - the fake portable air conditioners sweeping the internet	工作大解放：讓工作動起來的真實力量 (0.808) | 故事經濟學 (0.853) | 不受限的人生 (0.860)	Image source, Proper DIY ByLaura Cress Technology reporter Published 10 July 2026 As parts of the UK brace for another hot weekend, online adverts have been appearing for portable air conditioners claiming to be "designed by former Nasa eng
11830		0.9325	0.0076	Big tech must deal with scam ads under Ofcom proposals	未來地圖 (0.845) | 專注力協定:在分心時代掌控注意力 (0.853) | 平靜你的心 (0.857)	Image source, Getty Images ByLiv McMahon Technology reporter Published 10 July 2026 Platforms like YouTube, Instagram and TikTok will need to take action to deal with scam adverts, under new proposals from Ofcom. The regulator has published
11836		0.9401	0.0327	Tech Life	專注力協定:在分心時代掌控注意力 (0.812) | Make Time: How to Focus on What Matters Every Day (0.845) | 零噪音 (0.848)	Close menu Use BBC.com or the new BBC App to listen to BBC podcasts, Radio 4 and the World Service outside the UK. Find out how to listen to other BBC stations Episode details World Service,·07 Jul 2026,·26 mins Too young to scroll? Tech Li
12132		0.9466	0.0021	Energy drinks to be banned for under-16s in England from April	Make Time: How to Focus on What Matters Every Day (0.769) | 最有生產力的一年 (0.771)	Image source, EPA/Shutterstock Image caption, Some popular energy drinks contain more caffeine than two cups of coffee ByJacob Phillips Published 16 July 2026, 19:34 BST Updated 35 minutes ago Children under 16 will be banned from buying hi
11991		0.9473	0.0001	MI5 court evidence based on lies, report says	反智：不願說理的人是偏執 (0.878) | 解密陌生人：顛覆識人慣性，看穿表相下的真實人性 (0.878) | 惡血 (0.890)	Image caption, Agent X had used his status to coercively control his then girlfriend, including attacking her with a machete ByDaniel De Simone Investigations correspondent Published 16 July 2026, 12:30 BST Updated 43 minutes ago MI5 gave e
12397		0.9647	0.0175	Catfished student gets £10k after photos used for fake dating profiles	你想要什麼，就做什麼 (0.854) | 程式設計人應該知道的97件事 (0.872) | 艾蜜莉‧波斯特禮儀大全 (0.879)	Image caption, Fake accounts pretending to be Sasha-Jay gained 81,000 followers on TikTok and 22,000 on Instagram ByJordan Davies BBC Wales Published 16 July 2026 Updated 2 hours ago A 19-year-old woman whose images were used to create fake
11794		0.9698	0.0001	British Steel taken into public ownership to protect 'vital' UK supply	50 Capitalism Ideas You Really Need to Know (0.904) | 巴菲特寫給股東的信 (0.904) | 保羅及其書信辭典 (0.908)	Image source, Getty Images ByHarry Sekulich and Archie Mitchell, Business reporter Published 16 July 2026, 06:22 BST Updated 29 minutes ago British Steel has been taken into public ownership in what the government said was a bid to "protect
11805		0.9800	0.0081	Why England's loss to Argentina felt like most painful in 60 years of hurt	Make Time: How to Focus on What Matters Every Day (0.883) | 現在就開始，完美以後再說 (0.891) | 美軍四星上將教你打造黃金團隊 (0.917)	Image source, Reuters Image caption, Jude Bellingham and his England team-mates were dejected at the full-time whistle By Phil McNulty Chief football writer in Atlanta Published 6 hours ago England's years of hurt will now stretch beyond 60
12066		0.9820	0.0003	Burnham planning summer tour of UK in early weeks as PM	改變想法：改變自己與他人心智的藝術與科學 (0.919) | 保羅及其書信辭典 (0.920) | 第二曲線 (0.931)	Image source, Getty Images ByJames Gregory, Political reporter, Shelley Phelps, Wales Westminster correspondent and Catrin Haf Jones, Wales political correspondent Published 16 July 2026, 16:59 BST Updated 8 minutes ago Andy Burnham will un
12325		0.9849	0.0196	China hits out at British Steel nationalisation	50 Capitalism Ideas You Really Need to Know (0.850) | 變化中的世界秩序 (0.869) | 一本書讀懂經濟學 (0.871)	Image source, Getty Images ByPeter Hoskins Business reporter Published 2 hours ago China has hit out at the nationalisation of British Steel, saying it "firmly opposes and is strongly dissatisfied with the British government's decision". On
11988		0.9870	0.0016	UK says Falkland Islands 'definitely ours' after Argentina banner	保羅及其書信辭典 (0.876) | 極簡思考 (0.878) | 長勝心態 (0.901)	Image source, EPA/Shutterstock ByRichard Wheeler, Political reporter and Jack Fenwick, Political correspondent Published 16 July 2026, 13:10 BST Updated 16 minutes ago The UK government has said "the World Cup might not be ours, but the Fal
12056		0.9880	0.0220	Sadiq Khan among 26 new peers to enter the Lords	保羅及其書信辭典 (0.917) | 獨裁者手冊：為何壞行為幾乎總是好政治 (0.939) | 穩贏 (0.945)	Image source, PA Media Image caption, Sir Sadiq Khan has been London mayor since 2016 ByJoshua Nevett Political reporter Published 16 July 2026, 17:32 BST Updated 3 minutes ago London Mayor Sir Sadiq Khan is one of 26 new peers to be given 
11999		0.9931	0.0023	'Good day to drown a few sorrows', says King as he pours pint	絕佳好所在：社區生活的第三場所 (0.938) | 比翼雙飛 (0.941) | 餐桌的藝術：擺設、禮儀與餐具完全指南 (0.944)	'Good day to drown a few sorrows', says King as he pours pint To play this video you need to enable JavaScript in your browser. This video can not be played 'Good day to drown a few sorrows', says King as he pours pint Close King Charles II
12196		0.9967	0.0071	Trump administration tightens visa rules for foreign students	深度學習力 (0.889) | 快速致富：開拓一條致富快車道，提早實現真正的財務自由 (0.897) | 工作大解放：讓工作動起來的真實力量 (0.902)	Image source, Getty Images Image caption, Critics called the new rules "misguided and unnecessary" ByKwasi Gyamfi Asiedu Published 1 hour ago The Trump administration has given final notice of plans to implement stricter rules on foreign st
12188		0.9996	0.0165	Blasts reported in Iran as US launches new wave of strikes	學會領導 (0.891) | 大開眼界：葛拉威爾的奇想 (0.907) | 如何打贏一場戰爭 (0.914)	Image source, Reuters Image caption, The US launched strikes for the sixth night in a row, as fighting over control of the Strait of Hormuz continues ByJaroslav Lukiv Published 1 hour ago The US launched a new wave of strikes against Iran f
11802		1.0003	0.0033	Weekend cooldown to mark end of heatwave for some	LeetCode Notes (0.923) | 精準預測 (0.926) | 投資最重要的三個問題 (0.927)	Image source, PA ByDarren Bett Lead Weather Presenter Published 7 hours ago Temperatures are set to drop across the UK this weekend after a spell of intensely hot weather - marking an end to heatwave conditions for some. Fresher northerly w
11849		1.0003	0.0085	Japan officials hunt bear that raided couple’s fridge amid string of break-ins	廚藝解構聖經 (0.927) | 穩贏 (0.936) | Make Time: How to Focus on What Matters Every Day (0.941)	File image of a black bear in Iwate prefecture, northern Japan. Officials are hunting a bear that may be behind 14 break-ins in the town of Shizukuishi. Photograph: Yoshihiro Sato View image in fullscreen File image of a black bear in Iwate
12061		1.0082	0.0079	Uncle of Ann Widdecombe suspect says he 'nearly fell to floor' over arrest	解密陌生人：顛覆識人慣性，看穿表相下的真實人性 (0.923) | 恐懼，是保護你的天賦 (0.931) | 異數：超凡與平凡的界線在哪裡 (0.934)	Image source, PA Media ByLiz Roberts Reporting fromRotherham Published 1 hour ago The uncle of a man held on suspicion of the murder of Ann Widdecombe has told the BBC how he "nearly fell to the floor" when he heard his nephew had been arre
11844		1.0082	0.0014	Mexico asks US state attorneys general to investigate immigrant ICE deaths	極簡思考 (0.900) | 窮忙：我們這樣的世代 (0.902) | 保羅及其書信辭典 (0.930)	The site where Lorenzo Salgado Araujo was killed on 9 July 2026 in Houston, Texas. Photograph: Brandon Bell/Getty Images View image in fullscreen The site where Lorenzo Salgado Araujo was killed on 9 July 2026 in Houston, Texas. Photograph:
11793		1.0088	0.0232	Argentina face action over Falklands banner	極簡思考 (0.860) | 保羅及其書信辭典 (0.883) | 溝通－用故事產生共鳴 (0.889)	To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Argentina displays controversial banner after win over England ByAdwaidh Rajan BBC Sport journalist Published 15 July 2026 Argent
11800		1.0180	0.0068	Families of 43 victims await verdict in Genoa bridge disaster	正確犯錯：哈佛學者揭開成長心態的關鍵 (0.931) | 大開眼界：葛拉威爾的奇想 (0.938) | 保羅及其書信辭典 (0.947)	Image source, Getty Images Image caption, The 2018 bridge collapse was one of Italy's worst infrastructure disasters ByDavide Ghiglione Rome Published 8 hours ago On the morning of 14 August 2018, Claudia Possetti, 47, was in the car with h
12460		1.0298	0.0100	Wildfire still burning across four miles as helicopter waterbombs Cairngorms	人生的絕佳建議 (0.943) | 真確 (0.953) | 廚藝解構聖經 (0.954)	To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Watch: Wildfires tear through Cairngorms national park in Scotland ByCatherine Lyst BBC Scotland Published 17 July 2026, 08:09 BS
12328		1.0450	0.0098	Australia 'deeply frustrated' over Laos methanol poisoning charges	解密陌生人：顛覆識人慣性，看穿表相下的真實人性 (0.936) | 保羅及其書信辭典 (0.945) | 成熟大人該有的生活方式 (0.959)	Image source, Beaumaris Football Club Image caption, Holly Bowles, left, and Bianca Jones were visiting Laos from Australia ByHelen Livingstone Sydney Published 2 hours ago The Australian government has said it is "deeply frustrated and bit
